,follower,topic_id,coherence,top_words,theme,narrowed_topic
0,MrMarketingPhD,0,-68.82549657,game night ncaa time tournament games murray kentucky state morant,,game
1,MrMarketingPhD,1,-41.74426482,men golf eku intercollegiate week team ovc second lindwall erik,,golf
2,MrMarketingPhD,2,-67.20403352,marketing gobige hits busedu cte tournament thanks infographic double header,,hits
3,MrMarketingPhD,3,-47.92940561,day worked team league office say cut end time gobige,,team
4,MrMarketingPhD,4,-49.88083484,students marketing class amp successful global single record business great,,marketing
5,MrMarketingPhD,5,-59.70860502,kentucky great amp got successful students enjoyed sportsbiz sec national,,great
6,MrMarketingPhD,6,-67.96876902,good game big today gobige news ohio playing april ago,,game
7,MrMarketingPhD,7,-51.33171909,player times research year gobige conference history team head coach,,team
8,MrMarketingPhD,8,-49.6606227,research marketing great presentation retailing business highereducation pricing presenting brown,,presentation
9,MrMarketingPhD,9,-35.02532093,game free chance stadium roy kidd return earn forfeit offseason,,roy
10,Garrettsrock_24,0,25.41087961,city rotella giants jackson showcase liberti lobdell tri upends adam,,jackson
11,Garrettsrock_24,1,6.526006697,upends sitting drops ian going giants geracitano garrett game friday,,garrett
12,Garrettsrock_24,2,9.873959565,valle jackson ian going giants geracitano garrett game friday evans,,jackson
13,Garrettsrock_24,3,9.873959565,valle jackson ian going giants geracitano garrett game friday evans,,jackson
14,Garrettsrock_24,4,24.19448429,evans rbi ian dillon adam garrett srock liberti lobdell giants,,evans
15,Garrettsrock_24,5,8.120765063,showcase garrett srock valle reynolds big geracitano going innings upends,,garrett
16,Garrettsrock_24,6,14.72598983,tri evans jackson upends rbi showcase adam valle giants geracitano,,evans
17,Garrettsrock_24,7,9.873959565,valle jackson ian going giants geracitano garrett game friday evans,,jackson
18,Garrettsrock_24,8,14.15062568,dominic relief valle evans ian going giants geracitano garrett game,,dominic
19,Garrettsrock_24,9,15.69326805,srock action amp anthony stadium garrett showcase sal game friday,,anthony
20,AmyFox04307552,0,-9.658884501,game week miss alabama florida washington auburn ole oklahoma officially,,alabama
21,AmyFox04307552,1,-60.23542086,school boys high great lax congrats spring cave fox tonight,,school
22,AmyFox04307552,2,-13.95677447,teams looking team sign tryout cea coed summit specific skill,,teams
23,AmyFox04307552,3,-34.07598839,friday hey know seniors bring tennis parking monday morning win,,friday
24,AmyFox04307552,4,-46.70637174,amp family extreme day test teacher know right cheer ban,,know
25,AmyFox04307552,5,-49.27850524,amazing best great season post girls love comp saturday broadway,,amazing
26,AmyFox04307552,6,-6.709456768,child say breaking looking group america year abducted reagan share,,america
27,AmyFox04307552,7,-53.85919927,good today number friend best think luck collar mix missing,,good
28,AmyFox04307552,8,-6.982788209,trump clinton hillary got sold traitor warheads money developed straight,,clinton
29,AmyFox04307552,9,-67.32076541,cheer cave spring competition time team state second homecoming home,,cheer
30,notyouravgwoman,0,-3.347952867,itt tech federal students new banned summit giveaway taking ticket,,tech
31,notyouravgwoman,1,-9.364262454,scandal dog mellie conversation smartest grant little potty times woman,,dog
32,notyouravgwoman,2,5.257495372,student make taking aid law applaud comply ensure schools action,,student
33,notyouravgwoman,3,15.24923797,parent price laugh whyareyousendingprecioushere legal tuition ask financialaidseason currently getting,,laugh
34,notyouravgwoman,4,6.748021735,love house foreclosed fault right check inside refund feel long,,house
35,notyouravgwoman,5,12.82999836,win follow contest chance sleeveless shorts black tee amp red,,sleeveless
36,notyouravgwoman,6,0.915162218,hart love renewed season thrilled zoe today george seriously stupidity,,zoe
37,notyouravgwoman,7,13.16979643,things said baby lay butt fluff stop let pacing fan,,things
38,notyouravgwoman,8,8.945246313,know august finaidprobs words come swear bleep castle marathon fav,,swear
39,notyouravgwoman,9,24.26015132,say sign dear car city crosswalk hits tusculum let really,,let
